//year     ,concentration
1930.92     ,8.854
1931     ,8.854
1931.08     ,8.854
1931.17     ,8.854
1931.25     ,8.854
1931.33     ,8.854
1931.42     ,8.854
1931.5     ,8.854
1931.58     ,8.854
1931.67     ,8.854
1931.75     ,8.854
1931.83     ,8.854
1931.92     ,8.854
1932     ,8.854
1932.08     ,8.854
1932.17     ,8.854
1932.25     ,8.854
1932.33     ,8.854
1932.42     ,8.854
1932.5     ,8.854
1932.58     ,8.854
1932.67     ,8.854
1932.75     ,8.854
1932.83     ,8.854
1932.92     ,8.854
1933     ,8.854
1933.08     ,8.854
1933.17     ,8.854
1933.25     ,8.854
1933.33     ,8.854
1933.42     ,8.854
1933.5     ,8.854
1933.58     ,8.854
1933.67     ,8.854
1933.75     ,8.854
1933.83     ,8.854
1933.92     ,8.854
1934     ,8.854
1934.08     ,8.854
1934.17     ,8.854
1934.25     ,8.854
1934.33     ,8.854
1934.42     ,8.854
1934.5     ,8.854
1934.58     ,8.854
1934.67     ,8.854
1934.75     ,8.854
1934.83     ,8.854
1934.92     ,8.854
1935     ,8.854
1935.08     ,8.854
1935.17     ,8.854
1935.25     ,8.854
1935.33     ,8.854
1935.42     ,8.854
1935.5     ,8.854
1935.58     ,8.854
1935.67     ,8.854
1935.75     ,8.854
1935.83     ,8.854
1935.92     ,8.854
1936     ,8.854
1936.08     ,8.854
1936.17     ,8.854
1936.25     ,8.854
1936.33     ,8.854
1936.42     ,8.854
1936.5     ,8.854
1936.58     ,8.854
1936.67     ,8.854
1936.75     ,8.854
1936.83     ,8.854
1936.92     ,8.854
1937     ,8.854
1937.08     ,8.854
1937.17     ,8.854
1937.25     ,8.854
1937.33     ,8.854
1937.42     ,8.854
1937.5     ,8.854
1937.58     ,8.854
1937.67     ,8.854
1937.75     ,8.854
1937.83     ,8.854
1937.92     ,8.854
1938     ,8.854
1938.08     ,8.854
1938.17     ,8.854
1938.25     ,8.854
1938.33     ,8.854
1938.42     ,8.854
1938.5     ,8.854
1938.58     ,8.854
1938.67     ,8.854
1938.75     ,8.854
1938.83     ,8.854
1938.92     ,8.854
1939     ,8.854
1939.08     ,8.854
1939.17     ,8.854
1939.25     ,8.854
1939.33     ,8.854
1939.42     ,8.854
1939.5     ,8.854
1939.58     ,8.854
1939.67     ,8.854
1939.75     ,8.854
1939.83     ,8.854
1939.92     ,8.854
1940     ,8.854
1940.08     ,8.854
1940.17     ,8.854
1940.25     ,8.854
1940.33     ,8.854
1940.42     ,8.854
1940.5     ,8.854
1940.58     ,8.854
1940.67     ,8.854
1940.75     ,8.854
1940.83     ,8.854
1940.92     ,8.854
1941     ,8.854
1941.08     ,8.854
1941.17     ,8.854
1941.25     ,8.854
1941.33     ,8.854
1941.42     ,8.854
1941.5     ,8.854
1941.58     ,8.854
1941.67     ,8.854
1941.75     ,8.854
1941.83     ,8.854
1941.92     ,8.854
1942     ,8.854
1942.08     ,8.854
1942.17     ,8.854
1942.25     ,8.854
1942.33     ,8.854
1942.42     ,8.854
1942.5     ,8.854
1942.58     ,8.854
1942.67     ,8.854
1942.75     ,8.854
1942.83     ,8.854
1942.92     ,8.854
1943     ,8.854
1943.08     ,8.854
1943.17     ,8.854
1943.25     ,8.854
1943.33     ,8.854
1943.42     ,8.854
1943.5     ,8.854
1943.58     ,8.854
1943.67     ,8.854
1943.75     ,8.854
1943.83     ,8.854
1943.92     ,8.854
1944     ,8.854
1944.08     ,8.854
1944.17     ,8.854
1944.25     ,8.854
1944.33     ,8.854
1944.42     ,8.854
1944.5     ,8.854
1944.58     ,8.854
1944.67     ,8.854
1944.75     ,8.854
1944.83     ,8.854
1944.92     ,8.854
1945     ,12.61695
1945.08     ,12.61695
1945.17     ,12.61695
1945.25     ,12.61695
1945.33     ,12.61695
1945.42     ,12.61695
1945.5     ,15.09607
1945.58     ,15.09607
1945.67     ,15.09607
1945.75     ,15.09607
1945.83     ,15.09607
1945.92     ,15.09607
1946     ,17.57519
1946.08     ,17.57519
1946.17     ,17.57519
1946.25     ,17.57519
1946.33     ,17.57519
1946.42     ,17.57519
1946.5     ,18.90329
1946.58     ,18.90329
1946.67     ,18.90329
1946.75     ,18.90329
1946.83     ,18.90329
1946.92     ,18.90329
1947     ,20.23139
1947.08     ,20.23139
1947.17     ,20.23139
1947.25     ,20.23139
1947.33     ,20.23139
1947.42     ,20.23139
1947.5     ,19.4788
1947.58     ,19.4788
1947.67     ,19.4788
1947.75     ,19.4788
1947.83     ,19.4788
1947.92     ,19.4788
1948     ,18.77048
1948.08     ,18.77048
1948.17     ,18.77048
1948.25     ,18.77048
1948.33     ,18.77048
1948.42     ,18.77048
1948.5     ,17.79654
1948.58     ,17.79654
1948.67     ,17.79654
1948.75     ,17.79654
1948.83     ,17.79654
1948.92     ,17.79654
1949     ,16.77833
1949.08     ,16.77833
1949.17     ,16.77833
1949.25     ,16.77833
1949.33     ,16.77833
1949.42     ,16.77833
1949.5     ,18.85902
1949.58     ,18.85902
1949.67     ,18.85902
1949.75     ,18.85902
1949.83     ,18.85902
1949.92     ,18.85902
1950     ,20.98398
1950.08     ,20.98398
1950.17     ,20.98398
1950.25     ,20.98398
1950.33     ,20.98398
1950.42     ,20.98398
1950.5     ,22.5777
1950.58     ,22.5777
1950.67     ,22.5777
1950.75     ,22.5777
1950.83     ,22.5777
1950.92     ,22.5777
1951     ,24.17142
1951.08     ,24.17142
1951.17     ,24.17142
1951.25     ,24.17142
1951.33     ,24.17142
1951.42     ,24.17142
1951.5     ,24.87974
1951.58     ,24.87974
1951.67     ,24.87974
1951.75     ,24.87974
1951.83     ,24.87974
1951.92     ,24.87974
1952     ,25.58806
1952.08     ,25.58806
1952.17     ,25.58806
1952.25     ,25.58806
1952.33     ,25.58806
1952.42     ,25.58806
1952.5     ,25.80941
1952.58     ,25.80941
1952.67     ,25.80941
1952.75     ,25.80941
1952.83     ,25.80941
1952.92     ,25.80941
1953     ,26.03076
1953.08     ,26.03076
1953.17     ,26.03076
1953.25     ,26.03076
1953.33     ,26.03076
1953.42     ,26.03076
1953.5     ,27.53594
1953.58     ,27.53594
1953.67     ,27.53594
1953.75     ,27.53594
1953.83     ,27.53594
1953.92     ,27.53594
1954     ,28.99685
1954.08     ,28.99685
1954.17     ,28.99685
1954.25     ,28.99685
1954.33     ,28.99685
1954.42     ,28.99685
1954.5     ,31.52024
1954.58     ,31.52024
1954.67     ,31.52024
1954.75     ,31.52024
1954.83     ,31.52024
1954.92     ,31.52024
1955     ,34.04363
1955.08     ,34.04363
1955.17     ,34.04363
1955.25     ,34.04363
