sample_no, 3H_std, Well1_P1, log_posterior, log_posterior_transformed, stuck_counter, perturbation_coeff_0, perturbation_coeff_1, 
68, 2.295047e-01, 3.514798e+00, -2.479791e+00, -2.479791e+00, 0.000000, 4.605170e-01, 3.532212e-01, 
69, 1.962228e-01, 3.897256e+00, -2.519930e+00, -2.519930e+00, 0.000000, 4.605170e-01, 3.532212e-01, 
70, 7.832923e-02, 7.998972e+00, -2.127198e+00, -1.242094e+01, 0.000000, 4.605170e-01, 3.532212e-01, 
71, 1.218414e-01, 5.582201e+00, -2.497300e+00, -2.497300e+00, 0.000000, 4.605170e-01, 3.532212e-01, 
72, 3.286265e-01, 4.456093e+00, -2.682604e+00, -2.682604e+00, 0.000000, 4.605170e-01, 3.532212e-01, 
73, 1.323057e+00, 7.356128e+00, -4.852398e+00, -4.852398e+00, 0.000000, 4.605170e-01, 3.532212e-01, 
74, 2.316192e-01, 2.134352e+00, -2.466918e+00, -2.466918e+00, 1.000000, 4.605170e-01, 3.532212e-01, 
75, 7.853191e-02, 5.372329e+00, -3.222840e+00, -1.141070e+01, 1.000000, 4.605170e-01, 3.532212e-01, 
76, 2.295047e-01, 3.514798e+00, -2.479791e+00, -3.867953e+00, 0.000000, 4.605170e-01, 3.532212e-01, 
77, 2.618501e-01, 4.579558e+00, -2.567066e+00, -2.567066e+00, 0.000000, 4.605170e-01, 3.532212e-01, 
78, 7.832923e-02, 7.998972e+00, -2.127198e+00, -3.174561e+00, 0.000000, 4.605170e-01, 3.532212e-01, 
79, 1.304564e-01, 4.554182e+00, -2.734500e+00, -2.734500e+00, 0.000000, 4.605170e-01, 3.532212e-01, 
80, 2.707115e-01, 4.947108e+00, -2.621815e+00, -2.621815e+00, 0.000000, 4.605170e-01, 3.532212e-01, 
81, 6.974232e-01, 6.111946e+00, -3.746363e+00, -3.746363e+00, 0.000000, 4.605170e-01, 3.532212e-01, 
82, 2.694495e-01, 3.502212e+00, -2.479001e+00, -2.479001e+00, 1.000000, 4.605170e-01, 3.532212e-01, 
83, 7.543809e-02, 4.302835e+00, -4.740391e+00, -4.740391e+00, 1.000000, 4.605170e-01, 3.532212e-01, 
84, 2.295047e-01, 3.514798e+00, -2.479791e+00, -4.071902e+00, 0.000000, 4.605170e-01, 3.532212e-01, 
85, 2.030006e-01, 2.288058e+00, -2.607759e+00, -2.607759e+00, 0.000000, 4.605170e-01, 3.532212e-01, 
86, 9.901192e-02, 7.419722e+00, -2.222020e+00, -2.222020e+00, 0.000000, 4.605170e-01, 3.532212e-01, 
87, 1.427944e-01, 3.053766e+00, -3.118366e+00, -3.118366e+00, 0.000000, 4.605170e-01, 3.532212e-01, 
88, 1.167327e-01, 5.274912e+00, -2.613937e+00, -2.613937e+00, 0.000000, 4.605170e-01, 3.532212e-01, 
89, 3.065422e-01, 7.935717e+00, -3.149858e+00, -3.149858e+00, 0.000000, 4.605170e-01, 3.532212e-01, 
90, 2.694495e-01, 3.502212e+00, -2.479001e+00, -2.699072e+00, 1.000000, 4.605170e-01, 3.532212e-01, 
91, 1.071658e-01, 3.852151e+00, -3.553175e+00, -3.553175e+00, 1.000000, 4.605170e-01, 3.532212e-01, 
92, 2.027545e-01, 2.850017e+00, -2.561523e+00, -2.561523e+00, 0.000000, 4.605170e-01, 3.532212e-01, 
93, 2.030006e-01, 2.288058e+00, -2.607759e+00, -3.114713e+00, 0.000000, 4.605170e-01, 3.532212e-01, 
94, 9.901192e-02, 7.419722e+00, -2.222020e+00, -3.025940e+00, 0.000000, 4.605170e-01, 3.532212e-01, 
95, 1.427944e-01, 3.053766e+00, -3.118366e+00, -7.832554e+00, 0.000000, 4.605170e-01, 3.532212e-01, 
96, 7.971156e-02, 6.304508e+00, -2.496760e+00, -2.496760e+00, 0.000000, 4.605170e-01, 3.532212e-01, 
97, 3.065422e-01, 7.935717e+00, -3.149858e+00, -3.740885e+00, 0.000000, 4.605170e-01, 3.532212e-01, 
98, 2.958118e-01, 3.676353e+00, -2.522596e+00, -2.522596e+00, 1.000000, 4.605170e-01, 3.532212e-01, 
99, 1.353969e-01, 3.453117e+00, -3.086385e+00, -3.086385e+00, 1.000000, 4.605170e-01, 3.532212e-01, 
100, 1.813463e-01, 2.145171e+00, -2.823862e+00, -2.823862e+00, 0.000000, 4.605170e-01, 3.532212e-01, 
101, 2.030006e-01, 2.288058e+00, -2.607759e+00, -3.813386e+00, 0.000000, 4.605170e-01, 3.532212e-01, 
102, 9.429857e-02, 6.144573e+00, -2.455344e+00, -2.455344e+00, 0.000000, 4.605170e-01, 3.532212e-01, 
103, 7.947708e-02, 3.925874e+00, -4.985481e+00, -4.985481e+00, 0.000000, 4.605170e-01, 3.532212e-01, 
104, 7.857191e-02, 4.777769e+00, -3.869614e+00, -3.869614e+00, 0.000000, 4.605170e-01, 3.532212e-01, 
105, 4.800389e-01, 9.004909e+00, -3.809163e+00, -3.809163e+00, 0.000000, 4.605170e-01, 3.532212e-01, 
106, 2.248971e-01, 3.938514e+00, -2.491867e+00, -2.491867e+00, 1.000000, 4.605170e-01, 3.532212e-01, 
